"VarName","Description"
"cntryid","Country ID (ISO 3166, numeric)"
"cntryid_e","Participating country or sub-national entity code (numeric)"
"age_r","Person resolved age from BQ and QC check (estimated)"
"gender_r","Person resolved gender from BQ and QC check (estimated)"
"v59","Formal Training and Education - Highest credential - Level"
"v200","Highest level of schooling (Trend)"
"v266","Formal Training and Education - Highest credential - Level of foreign credential"
"v83","Formal Training and Education - Highest Credential - Level of foreign credential (collapsed, 14 categories)"
"v31","Formal Training and Education - Highest credential - Area of study"
"v202","Formal Training and Education - Highest credential - Age of finish"
"v151","Formal Training and Education - Highest credential - Age of finish (6 categories)"
"v231","Age at completion of highest level of schooling (Trend)"
"v272","Formal Training and Education - Highest credential - Year of finish"
"v32","Formal Training and Education - Highest credential - Month of finish"
"v78","Formal Training and Education - Highest credential - Months elapsed since finished (estimated )"
"v138","Formal Training and Education - Time elapsed since finished highest credential (5 categories)"
"v90","Formal Training and Education - Current credential"
"v157","Formal Training and Education or training in last 12 months (Trend)"
"v74","Courses toward certificate, diploma, or degree in program of studies in last 12 months (Trend)"
"v56","Formal Training and Education - Current credential - Level"
"v107","Formal Training and Education - Current Credential (collapsed, 10 categories)"
"v245","Formal Training and Education - Current credential - Area of study"
"v153","Formal Training and Education - Unfinished credential"
"v230","Formal Training and Education - Unfinished credential - Level"
"v243","Formal Training and Education - Unfinished credential - Level (collapsed, 10 categories)"
"v196","Formal Training and Education - Unfinished credential - Age of dropout"
"v58","Formal Training and Education - Unfinished credential - Age of dropout (6 categories)"
"v61","Formal Training and Education - Unfinished credential - Year of dropout"
"v38","Formal Training and Education - Unfinished credential - Month of dropout"
"v129","Formal Training and Education - Unfinished credential - Months elapsed since dropout (estimated )"
"v117","Formal Training and Education - Derived Months elapsed since leaving education without completing program (categorized, 3 categories)"
"v256","Formal Training and Education - Formal credential"
"v268","Formal Training and Education - Formal credential - Count"
"v252","Formal Training and Education - Formal credential - Count (top-coded at 2)"
"v290","Formal Training and Education - Formal credential - Level"
"v16","Formal Training and Education - Formal credential - Area of study"
"v72","Formal Training and Education - Formal credential - Reason job related"
"v9","Main reason for program of studies (Trend)"
"v4","Formal Training and Education - Formal credential - Employed"
"v126","Formal Training and Education - Formal credential - Employed - Working hours"
"v274","Formal Training and Education - Formal credential - Employed - Useful for job"
"v265","Formal Training and Education - Formal credential - Grant from employer"
"v102","Activities - prior year - Open or distance education"
